


==========================================================
vector size :  10
alphabet size : 56
python3 tf.py SL2 1k 10 ../sl_train56 ../sl_test56
SL2 1k
11   0.5175  count= 400.0
12   0.525  count= 400.0
13   0.515  count= 400.0
14   0.505  count= 400.0
15   0.5025  count= 400.0
16   0.5075  count= 400.0
17   0.52  count= 400.0
18   0.5075  count= 400.0
19   0.51  count= 400.0
20   0.51  count= 400.0
21   0.5075  count= 400.0
22   0.5075  count= 400.0
23   0.51  count= 400.0
24   0.51  count= 400.0
25   0.507273  count= 4400.0
26   0.5125 count= 400.0
27   0.505 count= 400.0
28   0.505 count= 400.0
29   0.505 count= 400.0
30   0.51 count= 400.0
31   0.5075 count= 400.0
32   0.505 count= 400.0
33   0.5075 count= 400.0
34   0.505 count= 400.0
35   0.505 count= 400.0
36   0.505 count= 400.0
37   0.51 count= 400.0
38   0.5075 count= 400.0
39   0.5025 count= 400.0
40   0.5 count= 400.0
41   0.505 count= 400.0
42   0.5075 count= 400.0
43   0.505 count= 400.0
44   0.505 count= 400.0
45   0.5025 count= 400.0
46   0.5025 count= 400.0
47   0.5025 count= 400.0
48   0.5075 count= 400.0
49   0.505 count= 400.0
50   0.5 count= 400.0
python3 tf.py SL2 100k 30 ../sl_train56 ../sl_test56
SL2 100k
Test1 Accuracies :  0.526612
Test2 Accuracies :  0.51
2   0.997  count= 2000.0
3   0.51425  count= 4000.0
4   0.57475  count= 4000.0
5   0.5555  count= 4000.0
6   0.53825  count= 4000.0
7   0.5315  count= 4000.0
8   0.526  count= 4000.0
9   0.52925  count= 4000.0
10   0.52125  count= 4000.0
11   0.522  count= 4000.0
12   0.51775  count= 4000.0
13   0.51725  count= 4000.0
14   0.513  count= 4000.0
15   0.5125  count= 4000.0
16   0.51625  count= 4000.0
17   0.51675  count= 4000.0
18   0.51  count= 4000.0
19   0.51475  count= 4000.0
20   0.515  count= 4000.0
21   0.518  count= 4000.0
22   0.51475  count= 4000.0
23   0.51375  count= 4000.0
24   0.51275  count= 4000.0
25   0.512523  count= 44000.0
26   0.5095 count= 4000.0
27   0.51225 count= 4000.0
28   0.508 count= 4000.0
29   0.5105 count= 4000.0
30   0.51125 count= 4000.0
31   0.51125 count= 4000.0
32   0.51 count= 4000.0
33   0.50875 count= 4000.0
34   0.5105 count= 4000.0
35   0.5085 count= 4000.0
36   0.513 count= 4000.0
37   0.511 count= 4000.0
38   0.50775 count= 4000.0
39   0.50925 count= 4000.0
40   0.5095 count= 4000.0
41   0.508 count= 4000.0
42   0.508 count= 4000.0
43   0.51075 count= 4000.0
44   0.508 count= 4000.0
45   0.51025 count= 4000.0
46   0.5105 count= 4000.0
47   0.51275 count= 4000.0
48   0.51025 count= 4000.0
49   0.511 count= 4000.0
50   0.5095 count= 4000.0
==========================================================
vector size :  100
alphabet size : 56
python3 tf.py SL2 1k 100 ../sl_train56 ../sl_test56
SL2 1k
Test1 Accuracies :  0.701429
Test2 Accuracies :  0.642
1   0.85  count= 20.0
2   0.983333  count= 60.0
3   0.85  count= 40.0
4   0.775  count= 40.0
5   0.725  count= 40.0
6   0.725  count= 40.0
7   0.8  count= 40.0
8   0.775  count= 40.0
9   0.75  count= 40.0
10   0.75  count= 40.0
11   0.675  count= 40.0
12   0.6  count= 40.0
13   0.6  count= 40.0
14   0.675  count= 40.0
15   0.625  count= 40.0
16   0.55  count= 40.0
17   0.725  count= 40.0
18   0.65  count= 40.0
19   0.725  count= 40.0
20   0.6  count= 40.0
21   0.7  count= 40.0
22   0.725  count= 40.0
23   0.625  count= 40.0
24   0.625  count= 40.0
25   0.672727  count= 440.0
26   0.75 count= 40.0
27   0.625 count= 40.0
28   0.725 count= 40.0
29   0.625 count= 40.0
30   0.575 count= 40.0
31   0.625 count= 40.0
32   0.625 count= 40.0
33   0.65 count= 40.0
34   0.725 count= 40.0
35   0.625 count= 40.0
36   0.6 count= 40.0
37   0.75 count= 40.0
38   0.6 count= 40.0
39   0.5 count= 40.0
40   0.65 count= 40.0
41   0.675 count= 40.0
42   0.625 count= 40.0
43   0.725 count= 40.0
44   0.6 count= 40.0
45   0.65 count= 40.0
46   0.675 count= 40.0
47   0.6 count= 40.0
48   0.6 count= 40.0
49   0.65 count= 40.0
50   0.6 count= 40.0
python3 tf.py SL2 10k 100 ../sl_train56 ../sl_test56
SL2 10k
Test1 Accuracies :  0.493551
Test2 Accuracies :  0.5
2   0.331667  count= 600.0
3   0.52  count= 400.0
4   0.5075  count= 400.0
