


==========================================================
vector size :  10
alphabet size : 10
python3 tf.py SL2 1k 10 ../sl_train10 ../sl_test10
SL2 1k
Test1 Accuracies :  0.66087
Test2 Accuracies :  0.642
1   1.0  count= 20.0
2   0.9  count= 40.0
3   0.7  count= 40.0
4   0.6  count= 40.0
5   0.6  count= 40.0
6   0.65  count= 40.0
7   0.8  count= 40.0
8   0.825  count= 40.0
9   0.75  count= 40.0
10   0.825  count= 40.0
11   0.725  count= 40.0
12   0.775  count= 40.0
13   0.6  count= 40.0
14   0.625  count= 40.0
15   0.6  count= 40.0
16   0.6  count= 40.0
17   0.7  count= 40.0
18   0.5  count= 40.0
19   0.7  count= 40.0
20   0.55  count= 40.0
21   0.7  count= 40.0
22   0.675  count= 40.0
23   0.775  count= 40.0
24   0.5  count= 40.0
25   0.602273  count= 440.0
26   0.796296 count= 540.0
27   0.45 count= 40.0
28   0.575 count= 40.0
29   0.575 count= 40.0
30   0.5 count= 40.0
31   0.55 count= 40.0
32   0.6 count= 40.0
33   0.6 count= 40.0
34   0.375 count= 40.0
35   0.525 count= 40.0
36   0.6 count= 40.0
37   0.575 count= 40.0
38   0.5 count= 40.0
39   0.575 count= 40.0
40   0.625 count= 40.0
41   0.625 count= 40.0
42   0.5 count= 40.0
43   0.65 count= 40.0
44   0.625 count= 40.0
45   0.65 count= 40.0
46   0.55 count= 40.0
47   0.575 count= 40.0
48   0.475 count= 0.0
49   0.55 count= 0.0
50   0.5 count= 0.0
python3 tf.py SL2 10k 10 ../sl_train10 ../sl_test10
SL2 10k
Test1 Accuracies :  0.526567
Test2 Accuracies :  0.346067
2   1.0  count= 200.0
3   0.59  count= 400.0
4   0.55  count= 400.0
5   0.5375  count= 400.0
6   0.535  count= 400.0
7   0.5375  count= 400.0
8   0.5375  count= 400.0
9   0.52  count= 400.0
10   0.5375  count= 400.0
11   0.5275  count= 400.0
12   0.51  count= 400.0
13   0.515  count= 400.0
14   0.5125  count= 400.0
15   0.515  count= 400.0
16   0.525  count= 400.0
17   0.52  count= 400.0
18   0.505  count= 400.0
19   0.51  count= 400.0
20   0.5025  count= 400.0
21   0.51  count= 400.0
22   0.51  count= 400.0
23   0.51  count= 400.0
24   0.5075  count= 400.0
25   0.510455  count= 4400.0
26   0.057037 count= 5400.0
27   0.52 count= 400.0
28   0.5075 count= 400.0
29   0.5125 count= 400.0
30   0.5075 count= 400.0
31   0.5025 count= 400.0
32   0.5125 count= 400.0
33   0.5 count= 400.0
34   0.51 count= 400.0
35   0.5125 count= 400.0
36   0.5125 count= 400.0
37   0.51 count= 400.0
38   0.505 count= 400.0
39   0.5175 count= 400.0
40   0.5025 count= 400.0
41   0.5075 count= 400.0
42   0.5075 count= 400.0
43   0.5075 count= 400.0
44   0.5075 count= 400.0
45   0.5025 count= 400.0
46   0.505 count= 400.0
47   0.505 count= 0.0
48   0.505 count= 0.0
49   0.515 count= 0.0
50   0.5125 count= 0.0
python3 tf.py SL2 100k 10 ../sl_train10 ../sl_test10
SL2 100k
Test1 Accuracies :  0.518969
Test2 Accuracies :  0.33612
3   0.9855  count= 2000.0
4   0.58875  count= 4000.0
5   0.562  count= 4000.0
6   0.53975  count= 4000.0
7   0.53575  count= 4000.0
8   0.52175  count= 4000.0
9   0.5155  count= 4000.0
10   0.51425  count= 4000.0
11   0.508  count= 4000.0
12   0.5105  count= 4000.0
13   0.50475  count= 4000.0
14   0.50425  count= 4000.0
15   0.504  count= 4000.0
16   0.50475  count= 4000.0
17   0.5055  count= 4000.0
18   0.504  count= 4000.0
19   0.505  count= 4000.0
20   0.503  count= 4000.0
21   0.50475  count= 4000.0
22   0.50425  count= 4000.0
23   0.5025  count= 4000.0
24   0.50325  count= 4000.0
25   0.5025  count= 44000.0
26   0.0415 count= 54000.0
27   0.502 count= 4000.0
28   0.502 count= 4000.0
29   0.50225 count= 4000.0
30   0.5015 count= 4000.0
31   0.5015 count= 4000.0
32   0.5035 count= 4000.0
33   0.502 count= 4000.0
34   0.50175 count= 4000.0
35   0.5015 count= 4000.0
36   0.50225 count= 4000.0
37   0.5025 count= 4000.0
38   0.50125 count= 4000.0
39   0.50125 count= 4000.0
40   0.501 count= 4000.0
41   0.50075 count= 4000.0
42   0.50425 count= 4000.0
43   0.502 count= 4000.0
44   0.5015 count= 4000.0
45   0.502 count= 4000.0
46   0.50175 count= 0.0
47   0.50175 count= 0.0
48   0.501 count= 0.0
49   0.501 count= 0.0
50   0.502 count= 0.0
==========================================================
vector size :  30
alphabet size : 10
python3 tf.py SL2 1k 30 ../sl_train10 ../sl_test10
SL2 1k
Test1 Accuracies :  0.646377
Test2 Accuracies :  0.46
1   1.0  count= 20.0
2   0.9  count= 40.0
3   0.8  count= 40.0
4   0.75  count= 40.0
5   0.6  count= 40.0
6   0.65  count= 40.0
7   0.8  count= 40.0
8   0.725  count= 40.0
9   0.65  count= 40.0
10   0.675  count= 40.0
11   0.65  count= 40.0
12   0.625  count= 40.0
13   0.6  count= 40.0
14   0.625  count= 40.0
15   0.6  count= 40.0
16   0.65  count= 40.0
17   0.725  count= 40.0
18   0.55  count= 40.0
19   0.6  count= 40.0
20   0.6  count= 40.0
21   0.6  count= 40.0
22   0.6  count= 40.0
23   0.625  count= 40.0
24   0.575  count= 40.0
25   0.602273  count= 440.0
26   0.255556 count= 540.0
27   0.5 count= 40.0
28   0.65 count= 40.0
29   0.55 count= 40.0
30   0.575 count= 40.0
31   0.6 count= 40.0
32   0.65 count= 40.0
33   0.5 count= 40.0
34   0.575 count= 40.0
35   0.575 count= 40.0
36   0.575 count= 40.0
37   0.625 count= 40.0
38   0.55 count= 40.0
39   0.55 count= 40.0
40   0.575 count= 40.0
41   0.7 count= 40.0
42   0.575 count= 40.0
43   0.525 count= 40.0
44   0.575 count= 40.0
45   0.625 count= 40.0
46   0.525 count= 40.0
47   0.55 count= 40.0
48   0.5 count= 0.0
49   0.65 count= 0.0
50   0.525 count= 0.0
python3 tf.py SL2 10k 30 ../sl_train10 ../sl_test10
SL2 10k
Test1 Accuracies :  0.520373
Test2 Accuracies :  0.339533
2   1.0  count= 200.0
3   0.59  count= 400.0
4   0.5425  count= 400.0
5   0.535  count= 400.0
6   0.5225  count= 400.0
7   0.5225  count= 400.0
8   0.5225  count= 400.0
9   0.51  count= 400.0
10   0.5325  count= 400.0
11   0.5125  count= 400.0
12   0.51  count= 400.0
13   0.5125  count= 400.0
14   0.51  count= 400.0
15   0.5125  count= 400.0
16   0.52  count= 400.0
17   0.5125  count= 400.0
18   0.5  count= 400.0
19   0.5075  count= 400.0
20   0.5  count= 400.0
21   0.5025  count= 400.0
22   0.505  count= 400.0
23   0.5025  count= 400.0
24   0.505  count= 400.0
25   0.503864  count= 4400.0
26   0.0466667 count= 5400.0
27   0.51 count= 400.0
28   0.5025 count= 400.0
29   0.5025 count= 400.0
30   0.5075 count= 400.0
31   0.5025 count= 400.0
32   0.5025 count= 400.0
33   0.5 count= 400.0
34   0.51 count= 400.0
35   0.5 count= 400.0
36   0.505 count= 400.0
37   0.5025 count= 400.0
38   0.5025 count= 400.0
39   0.5075 count= 400.0
40   0.5025 count= 400.0
41   0.5025 count= 400.0
42   0.5025 count= 400.0
43   0.505 count= 400.0
44   0.505 count= 400.0
45   0.5 count= 400.0
46   0.5025 count= 400.0
47   0.505 count= 0.0
48   0.505 count= 0.0
49   0.51 count= 0.0
50   0.5075 count= 0.0
python3 tf.py SL2 100k 30 ../sl_train10 ../sl_test10
SL2 100k
Test1 Accuracies :  0.533492
Test2 Accuracies :  0.350227
3   0.9855  count= 2000.0
4   0.607  count= 4000.0
5   0.5875  count= 4000.0
6   0.5575  count= 4000.0
7   0.5605  count= 4000.0
8   0.542  count= 4000.0
