


==========================================================
vector size :  10
alphabet size : 150
python3 tf.py SL2 1k 10 ../sl_train150 ../sl_test150
SL2 1k
Test1 Accuracies :  0.828571
Test2 Accuracies :  0.783
1   0.85  count= 20.0
2   0.783333  count= 60.0
3   0.775  count= 40.0
4   0.925  count= 40.0
5   0.875  count= 40.0
6   0.8  count= 40.0
7   0.875  count= 40.0
8   0.875  count= 40.0
9   0.8  count= 40.0
10   0.825  count= 40.0
11   0.875  count= 40.0
12   0.875  count= 40.0
13   0.9  count= 40.0
14   0.8  count= 40.0
15   0.8  count= 40.0
16   0.8  count= 40.0
17   0.775  count= 40.0
18   0.725  count= 40.0
19   0.85  count= 40.0
20   0.9  count= 40.0
21   0.95  count= 40.0
22   0.775  count= 40.0
23   0.725  count= 40.0
24   0.75  count= 40.0
25   0.831818  count= 440.0
26   0.875 count= 40.0
27   0.85 count= 40.0
28   0.825 count= 40.0
29   0.9 count= 40.0
30   0.85 count= 40.0
31   0.7 count= 40.0
32   0.825 count= 40.0
33   0.925 count= 40.0
34   0.775 count= 40.0
35   0.85 count= 40.0
36   0.775 count= 40.0
37   0.85 count= 40.0
38   0.775 count= 40.0
39   0.65 count= 40.0
40   0.75 count= 40.0
41   0.775 count= 40.0
42   0.7 count= 40.0
43   0.775 count= 40.0
44   0.8 count= 40.0
45   0.725 count= 40.0
46   0.75 count= 40.0
47   0.675 count= 40.0
48   0.75 count= 40.0
49   0.675 count= 40.0
50   0.775 count= 40.0
python3 tf.py SL2 10k 10 ../sl_train150 ../sl_test150
SL2 10k
Test1 Accuracies :  0.525357
Test2 Accuracies :  0.5039
1   1.0  count= 200.0
2   0.62  count= 600.0
3   0.6275  count= 400.0
4   0.54  count= 400.0
5   0.5375  count= 400.0
6   0.525  count= 400.0
7   0.5275  count= 400.0
8   0.52  count= 400.0
9   0.5125  count= 400.0
10   0.51  count= 400.0
11   0.505  count= 400.0
12   0.5075  count= 400.0
13   0.5225  count= 400.0
14   0.5025  count= 400.0
15   0.51  count= 400.0
16   0.505  count= 400.0
17   0.51  count= 400.0
18   0.505  count= 400.0
19   0.5  count= 400.0
20   0.51  count= 400.0
21   0.5025  count= 400.0
22   0.51  count= 400.0
23   0.5075  count= 400.0
24   0.5025  count= 400.0
25   0.505227  count= 4400.0
26   0.5075 count= 400.0
27   0.5 count= 400.0
28   0.5 count= 400.0
29   0.5075 count= 400.0
30   0.505 count= 400.0
31   0.5 count= 400.0
32   0.5075 count= 400.0
33   0.5 count= 400.0
34   0.5025 count= 400.0
35   0.5075 count= 400.0
36   0.5 count= 400.0
37   0.505 count= 400.0
38   0.5 count= 400.0
39   0.5 count= 400.0
40   0.5 count= 400.0
41   0.505 count= 400.0
42   0.5125 count= 400.0
43   0.51 count= 400.0
44   0.5025 count= 400.0
45   0.5025 count= 400.0
46   0.5075 count= 400.0
47   0.5025 count= 400.0
48   0.5075 count= 400.0
49   0.5 count= 400.0
50   0.505 count= 400.0
python3 tf.py SL2 100k 10 ../sl_train150 ../sl_test150
SL2 100k
Test1 Accuracies :  0.541058
Test2 Accuracies :  0.51038
2   0.735833  count= 6000.0
3   0.7585  count= 4000.0
4   0.59825  count= 4000.0
5   0.5825  count= 4000.0
6   0.557  count= 4000.0
7   0.54675  count= 4000.0
8   0.53675  count= 4000.0
9   0.53525  count= 4000.0
10   0.5325  count= 4000.0
11   0.5275  count= 4000.0
12   0.524  count= 4000.0
13   0.5205  count= 4000.0
14   0.5245  count= 4000.0
15   0.5185  count= 4000.0
16   0.5195  count= 4000.0
17   0.5155  count= 4000.0
18   0.51925  count= 4000.0
19   0.51725  count= 4000.0
20   0.51625  count= 4000.0
21   0.51675  count= 4000.0
22   0.5185  count= 4000.0
23   0.5155  count= 4000.0
24   0.51375  count= 4000.0
25   0.513455  count= 44000.0
26   0.51325 count= 4000.0
27   0.51375 count= 4000.0
28   0.51375 count= 4000.0
29   0.5135 count= 4000.0
30   0.51225 count= 4000.0
31   0.51125 count= 4000.0
32   0.51175 count= 4000.0
33   0.5115 count= 4000.0
34   0.50975 count= 4000.0
35   0.50875 count= 4000.0
36   0.50875 count= 4000.0
37   0.51 count= 4000.0
38   0.5095 count= 4000.0
39   0.5125 count= 4000.0
40   0.5105 count= 4000.0
41   0.50725 count= 4000.0
42   0.5135 count= 4000.0
43   0.511 count= 4000.0
44   0.5095 count= 4000.0
45   0.5085 count= 4000.0
46   0.50775 count= 4000.0
47   0.50775 count= 4000.0
48   0.5085 count= 4000.0
49   0.5065 count= 4000.0
50   0.5085 count= 4000.0
==========================================================
vector size :  30
alphabet size : 150
python3 tf.py SL2 1k 30 ../sl_train150 ../sl_test150
SL2 1k
Test1 Accuracies :  0.855
Test2 Accuracies :  0.769
1   0.95  count= 20.0
2   0.983333  count= 60.0
3   0.875  count= 40.0
4   0.925  count= 40.0
5   0.9  count= 40.0
6   0.925  count= 40.0
7   0.9  count= 40.0
8   0.875  count= 40.0
9   0.8  count= 40.0
10   0.875  count= 40.0
11   0.825  count= 40.0
12   0.925  count= 40.0
13   0.925  count= 40.0
14   0.875  count= 40.0
15   0.925  count= 40.0
16   0.8  count= 40.0
17   0.775  count= 40.0
18   0.675  count= 40.0
19   0.9  count= 40.0
20   0.95  count= 40.0
21   0.925  count= 40.0
22   0.775  count= 40.0
23   0.775  count= 40.0
24   0.75  count= 40.0
25   0.827273  count= 440.0
26   0.8 count= 40.0
27   0.825 count= 40.0
28   0.75 count= 40.0
29   0.9 count= 40.0
30   0.825 count= 40.0
31   0.725 count= 40.0
32   0.825 count= 40.0
33   0.95 count= 40.0
34   0.8 count= 40.0
35   0.825 count= 40.0
36   0.75 count= 40.0
37   0.8 count= 40.0
38   0.8 count= 40.0
39   0.675 count= 40.0
40   0.65 count= 40.0
41   0.8 count= 40.0
42   0.675 count= 40.0
43   0.75 count= 40.0
44   0.775 count= 40.0
45   0.725 count= 40.0
46   0.75 count= 40.0
47   0.7 count= 40.0
48   0.775 count= 40.0
49   0.7 count= 40.0
50   0.675 count= 40.0
python3 tf.py SL2 10k 30 ../sl_train150 ../sl_test150
SL2 10k
Test1 Accuracies :  0.524857
Test2 Accuracies :  0.5019
1   1.0  count= 200.0
2   0.62  count= 600.0
3   0.6275  count= 400.0
4   0.545  count= 400.0
5   0.5375  count= 400.0
6   0.525  count= 400.0
7   0.53  count= 400.0
8   0.5225  count= 400.0
9   0.515  count= 400.0
10   0.5125  count= 400.0
11   0.5075  count= 400.0
12   0.515  count= 400.0
13   0.5175  count= 400.0
14   0.51  count= 400.0
15   0.51  count= 400.0
16   0.505  count= 400.0
17   0.5075  count= 400.0
18   0.5025  count= 400.0
19   0.5025  count= 400.0
20   0.5025  count= 400.0
21   0.5025  count= 400.0
22   0.505  count= 400.0
23   0.5075  count= 400.0
24   0.5025  count= 400.0
25   0.5025  count= 4400.0
26   0.505 count= 400.0
27   0.5025 count= 400.0
28   0.5 count= 400.0
29   0.5025 count= 400.0
30   0.505 count= 400.0
31   0.5 count= 400.0
32   0.5025 count= 400.0
33   0.5 count= 400.0
34   0.5025 count= 400.0
35   0.505 count= 400.0
36   0.5 count= 400.0
37   0.505 count= 400.0
38   0.5 count= 400.0
39   0.5 count= 400.0
40   0.5 count= 400.0
41   0.5025 count= 400.0
42   0.5025 count= 400.0
43   0.5 count= 400.0
44   0.5025 count= 400.0
45   0.5025 count= 400.0
46   0.505 count= 400.0
47   0.5 count= 400.0
48   0.5 count= 400.0
49   0.5 count= 400.0
50   0.5025 count= 400.0
python3 tf.py SL2 100k 30 ../sl_train150 ../sl_test150
SL2 100k
Test1 Accuracies :  0.527906
Test2 Accuracies :  0.50723
2   0.736667  count= 6000.0
3   0.55875  count= 4000.0
4   0.59825  count= 4000.0
5   0.58125  count= 4000.0
6   0.53925  count= 4000.0
7   0.52825  count= 4000.0
8   0.52225  count= 4000.0
9   0.52075  count= 4000.0
10   0.51625  count= 4000.0
11   0.51575  count= 4000.0
12   0.513  count= 4000.0
13   0.51175  count= 4000.0
14   0.51425  count= 4000.0
15   0.5115  count= 4000.0
16   0.51325  count= 4000.0
17   0.50775  count= 4000.0
18   0.51125  count= 4000.0
19   0.509  count= 4000.0
20   0.508  count= 4000.0
21   0.51025  count= 4000.0
22   0.5085  count= 4000.0
23   0.50925  count= 4000.0
24   0.50875  count= 4000.0
25   0.508227  count= 44000.0
26   0.508 count= 4000.0
27   0.5085 count= 4000.0
28   0.50875 count= 4000.0
29   0.5105 count= 4000.0
30   0.50725 count= 4000.0
31   0.50825 count= 4000.0
32   0.50975 count= 4000.0
33   0.508 count= 4000.0
34   0.50625 count= 4000.0
35   0.5065 count= 4000.0
36   0.505 count= 4000.0
37   0.508 count= 4000.0
38   0.50675 count= 4000.0
39   0.508 count= 4000.0
40   0.507 count= 4000.0
41   0.50475 count= 4000.0
42   0.50775 count= 4000.0
43   0.5085 count= 4000.0
44   0.50675 count= 4000.0
45   0.5075 count= 4000.0
46   0.5065 count= 4000.0
47   0.5055 count= 4000.0
48   0.5065 count= 4000.0
49   0.50425 count= 4000.0
50   0.50625 count= 4000.0
==========================================================
vector size :  100
alphabet size : 150
python3 tf.py SL2 1k 100 ../sl_train150 ../sl_test150
SL2 1k
Test1 Accuracies :  0.804286
Test2 Accuracies :  0.775
1   0.95  count= 20.0
2   0.983333  count= 60.0
